cod_transacao,num_conta,data_transacao,nome_transacao,valor_transacao,ano
3100,256,2020-05-22 03:15:21+00:00,Saque,-130.0,2020
28405,256,2021-06-29 11:52:38+00:00,Saque,-255.0,2021
1776,512,2020-05-17 13:04:50+00:00,Saque,-250.0,2020
14311,512,2020-09-06 02:55:34+00:00,Saque,-80.0,2020
25012,512,2020-10-16 09:26:52+00:00,Saque,-475.0,2020
26883,512,2020-11-09 00:47:27+00:00,Saque,-210.0,2020
35017,512,2021-04-13 08:17:24+00:00,Saque,-50.0,2021
46264,512,2021-05-01 06:25:50+00:00,Saque,-1160.0,2021
21340,768,2020-02-14 21:42:15+00:00,Saque,-170.0,2020
64259,1,2019-08-11 15:13:07+00:00,Saque,-245.0,2019
28202,257,2022-12-26 05:13:37+00:00,Saque,-215.0,2022
50107,257,1970-01-01 00:00:00,Saque,-175.0,2022
9740,513,1970-01-01 00:00:00,Saque,-130.0,2022
18182,513,1970-01-01 00:00:00,Saque,-140.0,2022
65003,513,1970-01-01 00:00:00,Saque,-35.0,2022
70201,513,1970-01-01 00:00:00,Saque,-250.0,2022
47384,769,1970-01-01 00:00:00,Saque,-120.0,2019
53165,769,1970-01-01 00:00:00,Saque,-360.0,2019
56160,769,1970-01-01 00:00:00,Saque,-130.0,2019
71523,769,1970-01-01 00:00:00,Saque,-130.0,2022
51163,2,1970-01-01 00:00:00,Saque,-190.0,2022
53595,2,1970-01-01 00:00:00,Saque,-35.0,2022
71539,2,1970-01-01 00:00:00,Saque,-65.0,2022
46162,258,1970-01-01 00:00:00,Saque,-215.0,2016
39404,514,1970-01-01 00:00:00,Saque,-345.0,2022
42072,514,1970-01-01 00:00:00,Saque,-110.0,2022
57169,514,1970-01-01 00:00:00,Saque,-85.0,2022
58524,514,1970-01-01 00:00:00,Saque,-820.0,2022
16523,770,1970-01-01 00:00:00,Saque,-75.0,2022
23616,770,1970-01-01 00:00:00,Saque,-400.0,2022
42140,3,1970-01-01 00:00:00,Saque,-100.0,2020
60681,3,1970-01-01 00:00:00,Saque,-80.0,2021
2946,259,1970-01-01 00:00:00,Saque,-565.0,2019
